what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.xtext.xtend2.ui,2.0.0.v201106070531,"org.eclipse.xtext.xtend2.ui",1318336201559
stopped,bundle,org.eclipse.xtext.xbase.ui,2.0.0.v201106070531,"org.eclipse.xtext.xbase.ui",1318336201559
stopped,bundle,org.eclipse.xtext.xtend2,2.0.0.v201106070531,"org.eclipse.xtext.xtend2",1318336201559
stopped,bundle,org.eclipse.xtext.xbase,2.0.0.v201106070531,"org.eclipse.xtext.xbase",1318336201559
stopped,bundle,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui",1318336201559
stopped,bundle,org.eclipse.papyrus.uml.ui.perspectiveconfiguration,0.8.0.v201106151827,"org.eclipse.papyrus.uml.ui.perspectiveconfiguration",1318336201559
stopped,bundle,org.eclipse.emf.facet.widgets.nattable.workbench,0.1.0.v201106070935,"org.eclipse.emf.facet.widgets.nattable.workbench",1318336201559
stopped,bundle,org.eclipse.emf.facet.widgets.nattable,0.1.0.v201106070935,"org.eclipse.emf.facet.widgets.nattable",1318336201560
stopped,bundle,org.eclipse.papyrus.table.modelexplorer,0.8.0.v201106151827,"org.eclipse.papyrus.table.modelexplorer",1318336201560
stopped,bundle,org.eclipse.papyrus.table.instance,0.8.0.v201106151827,"org.eclipse.papyrus.table.instance",1318336201560
stopped,bundle,org.eclipse.emf.facet.widgets.nattable.instance,0.1.0.v201106070935,"org.eclipse.emf.facet.widgets.nattable.instance",1318336201560
stopped,bundle,org.eclipse.emf.facet.widgets.nattable.tableconfiguration,0.1.0.v201106070935,"org.eclipse.emf.facet.widgets.nattable.tableconfiguration",1318336201560
stopped,bundle,org.eclipse.papyrus.controlmode.umlprofiles,0.8.0.v201106151827,"org.eclipse.papyrus.controlmode.umlprofiles",1318336201560
stopped,bundle,org.eclipse.papyrus.controlmode,0.8.0.v201106151827,"org.eclipse.papyrus.controlmode",1318336201560
stopped,bundle,org.eclipse.papyrus.uml.modelexplorer.widgets,0.8.0.v201106151827,"org.eclipse.papyrus.uml.modelexplorer.widgets",1318336201565
stopped,bundle,org.eclipse.papyrus.modelexplorer.widgets,0.8.0.v201106151827,"org.eclipse.papyrus.modelexplorer.widgets",1318336201565
stopped,bundle,org.eclipse.papyrus.uml.menu,0.8.0.v201106151827,"org.eclipse.papyrus.uml.menu",1318336201565
stopped,bundle,org.eclipse.papyrus.modelexplorer,0.8.0.v201106151827,"org.eclipse.papyrus.modelexplorer",1318336201565
stopped,bundle,org.eclipse.emf.facet.infra.browser,0.1.0.v201106070935,"org.eclipse.emf.facet.infra.browser",1318336201565
stopped,bundle,org.eclipse.emf.facet.infra.query.ui,0.1.0.v201106070935,"org.eclipse.emf.facet.infra.query.ui",1318336201565
stopped,bundle,org.eclipse.emf.mwe2.language.ui,2.0.0.v201106070634,"org.eclipse.emf.mwe2.language.ui",1318336201565
stopped,bundle,org.eclipse.ocl.examples.xtext.oclstdlib.ui,3.1.0.v20110526-1523,"org.eclipse.ocl.examples.xtext.oclstdlib.ui",1318336201566
stopped,bundle,org.eclipse.ocl.examples.xtext.console,3.1.0.v20110513-1919,"org.eclipse.ocl.examples.xtext.console",1318336201566
stopped,bundle,org.eclipse.ocl.examples.xtext.completeocl.ui,3.1.0.v20110526-1523,"org.eclipse.ocl.examples.xtext.completeocl.ui",1318336201566
stopped,bundle,org.eclipse.ocl.examples.xtext.oclinecore.ui,3.1.0.v20110527-0928,"org.eclipse.ocl.examples.xtext.oclinecore.ui",1318336201566
stopped,bundle,org.eclipse.papyrus.constraintwithessentialocl.editor.xtext,3.1.0.v201106151827,"org.eclipse.papyrus.constraintwithessentialocl.editor.xtext",1318336201566
stopped,bundle,org.eclipse.ocl.examples.xtext.essentialocl.ui,3.1.0.v20110526-1523,"org.eclipse.ocl.examples.xtext.essentialocl.ui",1318336201566
stopped,bundle,org.eclipse.xtext.common.types.shared,2.0.0.v201106070531,"org.eclipse.xtext.common.types.shared",1318336201566
stopped,bundle,org.eclipse.xtext.gmf.glue,0.8.0.v201106151827,"org.eclipse.xtext.gmf.glue",1318336201566
stopped,bundle,org.eclipse.xtext.ui.ecore,2.0.0.v201106070531,"org.eclipse.xtext.ui.ecore",1318336201566
stopped,bundle,org.eclipse.xtext.xtext.ui.graph,2.0.0.v201106070531,"org.eclipse.xtext.xtext.ui.graph",1318336201566
stopped,bundle,org.eclipse.xtext.ui.shared,2.0.0.v201106070531,"org.eclipse.xtext.ui.shared",1318336201566
stopped,bundle,org.eclipse.xtext.builder,2.0.0.v201106070531,"org.eclipse.xtext.builder",1318336201566
stopped,bundle,org.eclipse.xtext.common.types.ui,2.0.0.v201106070531,"org.eclipse.xtext.common.types.ui",1318336201566
stopped,bundle,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui",1318336201605
stopped,bundle,org.eclipse.xtext.ui.junit,2.0.0.v201106070531,"org.eclipse.xtext.ui.junit",1318336201610
stopped,bundle,org.eclipse.xtext.ui,2.0.0.v201106070531,"org.eclipse.xtext.ui",1318336201610
stopped,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1318336201611
stopped,bundle,org.eclipse.emf.cdo.ui.ide,4.0.0.v20110607-1031,"org.eclipse.emf.cdo.ui.ide",1318336201611
stopped,bundle,org.eclipse.emf.ecoretools,1.0.0.v20110608-1236,"org.eclipse.emf.ecoretools",1318336201611
stopped,bundle,org.eclipse.emf.ecoretools.diagram,1.0.0.v20110601-1615,"org.eclipse.emf.ecoretools.diagram",1318336201611
stopped,bundle,org.eclipse.mylyn.commons.team,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.team",1318336201611
